,eng,Subject
95298,"First discovered enzyme was
A. Isomerase
B. Transaminase
c. zymase
D. Transferase",Biology
55186,"The diagram shows two magnets and
two iron rods placed in a line.

Which magnetic poles are induced at the ends \( J \) and \( K \) of the iron rods?
A. Pole induced at end \( J-N \), pole induced at end \( K-N \)
B. Pole induced at end \( J-N \), pole induced at end \( K-S \)
C. Pole induced at end \( J-S \), pole induced at end \( K-N \)
D. Pole induced at end \( J-S \), pole induced at end \( K-S \)",Physics
111545,"Polynuclear hydrocarbons are formed by complete combustion of organic materials.
A. True
B. False",Chemistry
34588,"A turn of radius \( 20 \mathrm{m} \) is banked for the
vehicle of mass 200 kg going at a speed of \( 10 \mathrm{m} / \mathrm{s} \). Find the direction and
magnitude of frictional force acting on a vehicle if it moves with a speed \( 5 \mathrm{m} / \mathrm{s} \)",Physics
105967,In an equilateral triangle of side \( 3 \sqrt{3} \) find the length of the altitude.,Maths
67057,"Coal can be used as a main source for:
A. water
B. air
c. energy
D. soil",Chemistry
4391,Cork is a colloid of,Chemistry
97913,"Calculate approximate \( p H \) of the resultant solution formed by titration of
\( 25 m L \) of \( 0.4 M N a_{2} C O_{3} \) with \( 50 m L \)
of \( 0.025 M H C l \)
[Given that: \( p K_{a_{1}}=6.4 \) and \( p K_{a_{2}}= \)
10.3 for \( H_{2} C O_{3} \)
A .5 .92
B. 11.14
\( c .6 .4 \)
D. 5.88",Chemistry
29831,"The longest side of a triangle is 3 times the shortest side and the third side is 2
\( \mathrm{cm} \) shorter than the longest side. If the
perimeter of the triangle is at least 61 \( \mathrm{cm}, \) find the minimum length in cm. of
the shortest side.",Maths
30672,"A reaction is represented as \( 2 A+B \mapsto \)
\( 2 C+3 D . \) The concentration of \( C \) at 10 s
is 4 moles \( l^{-1} \). The concentration of \( C \) at
20 seconds is 5.2 moles \( l^{-1} . \) The rate of
reaction of \( \mathrm{B} \) in the same time interval
could be :
A. -0.12 mole \( l^{-1} S^{-1} \)
B. -0.6 mole \( l^{-1} S^{-1} \)
c. -0.06 mole \( l^{-1} S^{-1} \)
D. -1.2 mole l"" \( S^{-1} \)",Chemistry
12883,"In hepatitis yellowing of urine is due to
A. Bilirubin
B. Bile salts
c. Pancreatic juices
D. sperms",Biology
91081,"The electronic configuration of gadolinium (Atomic No.64) is:
\( \mathbf{A} \cdot[X e] 4 f^{3} 5 d^{5} 6 s^{2} \)
\( \mathbf{B} \cdot[X e] 4 f^{6} 5 d^{2} 6 d^{2} \)
\( \mathbf{c} \cdot[X e] 4 f^{8} 5 d^{9} 6 s^{2} \)
\( \mathbf{D} \cdot[X e] 4 f^{7} 5 d^{1} 6 s^{2} \)",Chemistry
108046,"Write the name and formula of the first
member of the carbon compounds having functional group - COOH .",Chemistry
58354,"In a triangle \( \triangle A B C, 3 \sin A+ \)
\( 4 \cos B=6 \) and \( 4 \sin B+3 \cos A=1 \)
then the angle \( C \) is
A \( .150^{\circ} \)
B . \( 45^{\circ} \)
\( c \cdot 60^{\circ} \)
D. \( 30^{\circ} \)",Maths
8524,"We cannot see anything in a dark room because:
A. everything is black in colour
B. our eyes do not work in darkness
c. light from the room does not reach our eyes
D. all the light gets scattered",Physics
37628,"The general formula \( C_{n} H_{2 n} O_{2} \) could be
for open chain:
A. diketones
B. carboxylic acids
\( c \cdot \) diols
D. dialdehydes",Chemistry
111082,"Solve the equation \( |z|=z+1+2 i \)
A \( \cdot \frac{3}{2}+2 i \)
в. \( \frac{3}{2}-i \)
c. \( \frac{3}{2}+i \)
D. \( \frac{3}{2}-2 i \)",Maths
85862,"An automobile engine develops \( 100 \mathrm{kW} \) when rotating at a speed of 1800 rev/min. What torque does it deliver?
A. 350 Nm
B. 440 Nm
\( c .531 \mathrm{Nm} \)
D. \( 628 \mathrm{Nm} \)",Physics
28467,"Two parallel chords are drawn on the
same side of the centre of a circle of
radius 20. It is found that they subtend
\( 60^{0} \) and \( 120^{0} \) angles at the centre of the circle. Then the perpendicular distance between the chords is:
\( \mathbf{A} \cdot 5(\sqrt{3}-1) \)
B . \( 10(\sqrt{3}-1) \)
c. \( 10(\sqrt{2}-1) \)
() \( 5(\sqrt{2}-1-1) \)
D. \( 5(\sqrt{3}+1) \)",Maths
66053,"Find the area of the region bounded by
the parabola \( y^{2}=2 x \) and the line \( x- \)
\( \boldsymbol{y}=\mathbf{4} . \) And \( \mathbf{1 8} \boldsymbol{s} \boldsymbol{q} \) unit.",Maths
53324,and we (i) (i),Physics
50516,"f \( t_{n}=4 n-3, \) then find the first two
terms of an A.P.",Maths
20804,"If the radius of a sphere is increased by \( 2 \mathrm{cm}, \) then its surface area increases by
\( 352 c m^{2} . \) The radius of the sphere before
the increase was
A. \( 3 \mathrm{cm} \)
B. \( 4 \mathrm{cm} \)
\( c .5 \mathrm{cm} \)
D. \( 6 \mathrm{cm} \)",Maths
114995,"An aeroplane cruising in the air is an example of
A. uniform motion
B. non uniform motion
c. either uniform or non uniform motion
D. neither uniform nor non uniform motion",Physics
94970,"Centromere is required for which of the following?
A. Movement of chromosomes towards poles
B. Cytoplasmic cleavage
c. crossing over
D. Transcription process",Biology
14022,"How will you quantize the relative permeability of a paramagnetic
substance ?
A. Much more than one
B. Slightly more than one
c. Less than one but greater than zero
D. zero",Physics
21241,"\( f(-A) \) and \( C B \) are congruent, \( A C=12 \)
then find \( B C \).
4. 12
3.10
\( c \)
2.2",Maths
111173,"Assertion
In dicot stem, the endodermis is also referred to as the starch sheath.
Reason
The cells of the endodermis are rich in
starch grains.
A. Both Assertion and Reason are correct and Reason is the correct explanation for Assertion
B. Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion
c. Assertion is correct but Reason is incorrect
D. Both Assertion and Reason are incorrect",Biology
76826,"Which of the following types of reactions occur when a hydrocarbon has a double bond?
A. Substitution reaction
B. Addition reaction
c. Photolysis
D. None of the above",Chemistry
104603,A solution of the differential equation \( \left(\frac{d y}{d x}\right)-x \frac{d y}{d x}+y=0 \) is,Maths
107737,"A cord is used to lower vertically a block
of mass \( M \) by a distance \( d \) with
constant downward acceleration \( \boldsymbol{g} / \mathbf{4} \) Work done by the cord on the block is:
A \( \cdot_{M g} \frac{d}{4} \)
в. \( 3 M g \frac{d}{4} \)
c. \( _{-3 M g_{\overline{4}}^{d}} \)
D. \( M g d \)",Physics
33063,"Assertion
An electric field is preferred in comparison to magnetic field for detecting the electron beam in a television picture tube
Reason
Electric field requires low voltage.
A. Both Assertion and Reason are correct and Reason is the correct explanation for Assertion
B. Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion
c. Assertion is correct but Reason is incorrect
D. Both Assertion and Reason are incorrect",Physics
119679,"Aqua regia consists of:
A. hydrochloric acid
B. carbonic acid
C. nitric acid
D. both \( A \) and \( C \)",Chemistry
29848,"The specific resistance \( \rho \) of a circular wire of radius \( r, \) resistance \( R, \) and length
is given by \( \rho=\pi r^{2} R / l . \) Given: \( r= \)
\( \mathbf{0 . 2 4} \pm \mathbf{0 . 0 2 c m}, \boldsymbol{R}=\mathbf{3 0} \pm \mathbf{1 \Omega}, \) and \( \boldsymbol{l}= \)
\( 4.80 \pm 0.01 c m . \) The percentage error in
\( \rho \) is nearly:
A . \( 7 \% \)
в. \( 9 \% \)
c. \( 13 \% \)
D. 20\%",Physics
101084,"A letter Lock consists of three rings
each marked with 5 different letters
Number of maximum attempts to open
the lock is:
A . 124
в. 125
c. 120
D. 75",Maths
79650,"Which of the following can show coordination isomerism?
(i) \( \left[\boldsymbol{C u}\left(\boldsymbol{N} \boldsymbol{H}_{3}\right)_{4}\right]\left[\boldsymbol{P t C l}_{4}\right] ; \) (ii)
\( \left[\boldsymbol{F e}\left(\boldsymbol{N} \boldsymbol{H}_{3}\right)_{6}\right]_{2}\left[\boldsymbol{P t}(\boldsymbol{C N})_{6}\right]_{3} \quad ; \) (iii)
\( \left[\boldsymbol{C o}\left(\boldsymbol{N} \boldsymbol{H}_{3}\right)_{6}\right]\left[\boldsymbol{C r}\left(\boldsymbol{C}_{2} \boldsymbol{O}_{4}\right)_{3}\right] ; \) (iv)
\( \left[\boldsymbol{P t}(\boldsymbol{e n})_{3}\right]\left(\boldsymbol{S O}_{4}\right)_{2} \)",Chemistry
78445,"If water be used to construct a
barometer, what would be the height of water column at standard atmospheric pressure (76 cm of mercury)?",Physics
32313,Differentiate: \( \left(\sin ^{-1} x+\frac{1}{2} \log \frac{1+x}{1-x}\right) \),Maths
